S001;Camila;Fuentes;22;camila.fuentes@mail.cl;2026-03-01;A001
S002;Diego;Vera;27;diego.vera@mail.cl;2026-03-02;A001
S003;Matías;Cerda;19;matias.cerda@mail.cl;2026-03-04;A001
S004;Ignacio;Bravo;24;ignacio.bravo@mail.cl;2026-03-05;A001
S005;Fernanda;Muñoz;31;fernanda.munoz@mail.cl;2026-03-03;A002
S006;Pablo;Araya;45;pablo.araya@mail.cl;2026-03-06;A002
S007;Sofía;Navarro;28;sofia.navarro@mail.cl;2026-03-07;A002
S008;Tomás;Gómez;33;tomas.gomez@mail.cl;2026-03-08;A003
S009;Antonia;Silva;26;antonia.silva@mail.cl;2026-03-09;A003
S010;Valeria;Torres;20;valeria.torres@mail.cl;2026-03-10;A004
S011;Josefa;Riquelme;23;josefa.riquelme@mail.cl;2026-03-11;A004
S012;Camila;Vidal;25;camila.vidal@mail.cl;2026-03-12;A004
S013;Benjamín;Rojas;21;benjamin.rojas@mail.cl;2026-03-13;A005
S014;Martina;Flores;24;martina.flores@mail.cl;2026-03-14;A005
S015;Cristóbal;Paredes;29;cristobal.paredes@mail.cl;2026-03-15;A005
S016;Isidora;Campos;18;isidora.campos@mail.cl;2026-03-16;A005
S017;Felipe;Zúñiga;40;felipe.zuniga@mail.cl;2026-03-17;A006
S018;Daniela;Espinoza;35;daniela.espinoza@mail.cl;2026-03-18;A006
S071;Mario;Rojas;22;mario.rojas@mail.cl;2026-01-01;A006
S019;Gabriel;Morales;30;gabriel.morales@mail.cl;2026-03-19;A007
S020;Amanda;Castro;27;amanda.castro@mail.cl;2026-03-20;A007
S021;Nicolás;Vergara;22;nicolas.vergara@mail.cl;2026-03-21;A007
S022;Rocío;Sepúlveda;38;rocio.sepulveda@mail.cl;2026-03-22;A008
S023;Hernán;Toro;42;hernan.toro@mail.cl;2026-03-23;A008
S024;Ricardo;Aguilera;29;ricardo.aguilera@mail.cl;2026-03-24;A009
S025;Paula;Cornejo;26;paula.cornejo@mail.cl;2026-03-25;A009
S026;Esteban;Miranda;31;esteban.miranda@mail.cl;2026-03-26;A009
S027;Francisca;Leiva;24;francisca.leiva@mail.cl;2026-03-27;A010
S028;Joaquín;Pizarro;27;joaquin.pizarro@mail.cl;2026-03-28;A010
S029;Trinidad;Guzmán;21;trinidad.guzman@mail.cl;2026-03-29;A010
S070;Juan;Mercade;23;juan.mercade@mail.cl;2026-01-01;A010
